Date & Time,Temp (0C),Rainfall (mm)
2020-03-01 00:03:00,19.43,0.0
2020-03-01 00:18:00,20.89,0.0
2020-03-01 00:33:00,18.71,0.4
2020-03-01 00:48:00,18.36,0.0
2020-03-01 01:03:00,18.38,0.0
2020-03-01 01:18:00,18.45,0.0
2020-03-01 01:33:00,18.4,0.0
2020-03-01 01:48:00,18.52,0.0
2020-03-01 02:03:00,18.24,0.0
2020-03-01 02:18:00,17.84,0.0
2020-03-01 02:33:00,17.46,0.0
2020-03-01 02:48:00,17.38,0.0
2020-03-01 03:03:00,17.26,0.0
2020-03-01 03:18:00,17.14,0.0
2020-03-01 03:33:00,16.95,0.0
2020-03-01 03:48:00,16.93,0.0
2020-03-01 04:03:00,16.83,0.0
2020-03-01 04:18:00,16.83,0.0
2020-03-01 04:33:00,16.61,0.0
2020-03-01 04:48:00,16.4,0.0
2020-03-01 05:03:00,16.29,0.2
2020-03-01 05:18:00,16.13,0.0
2020-03-01 05:33:00,16.09,0.0
2020-03-01 05:48:00,15.78,0.0
2020-03-01 06:03:00,15.74,0.0
2020-03-01 06:18:00,15.84,0.0
2020-03-01 06:33:00,15.95,0.0
2020-03-01 06:48:00,16.22,0.0
2020-03-01 07:03:00,16.52,0.0
2020-03-01 07:18:00,17.04,0.0
2020-03-01 07:33:00,17.5,0.0
2020-03-01 07:48:00,18.38,0.0
2020-03-01 08:03:00,18.82,0.0
2020-03-01 08:18:00,19.38,0.0
2020-03-01 08:33:00,19.99,0.0
2020-03-01 08:48:00,20.89,0.0
2020-03-01 09:03:00,21.44,0.0
2020-03-01 09:18:00,21.94,0.0
2020-03-01 09:33:00,22.6,0.0
2020-03-01 09:48:00,22.88,0.0
2020-03-01 10:03:00,23.17,0.0
2020-03-01 10:18:00,23.75,0.0
2020-03-01 10:33:00,23.88,0.0
2020-03-01 10:48:00,24.49,0.0
2020-03-01 11:03:00,25.21,0.0
2020-03-01 11:18:00,25.62,0.0
2020-03-01 11:33:00,25.86,0.0
2020-03-01 11:48:00,25.64,0.0
2020-03-01 12:03:00,25.92,0.0
2020-03-01 12:18:00,25.94,0.0
2020-03-01 12:33:00,25.97,0.0
2020-03-01 12:48:00,26.41,0.0
2020-03-01 13:03:00,26.66,0.0
2020-03-01 13:18:00,26.78,0.0
2020-03-01 13:33:00,26.8,0.0
2020-03-01 13:48:00,27.18,0.0
2020-03-01 14:03:00,27.05,0.0
2020-03-01 14:18:00,27.42,0.0
2020-03-01 14:33:00,27.72,0.0
2020-03-01 14:48:00,27.55,0.0
2020-03-01 15:03:00,27.17,0.0
2020-03-01 15:18:00,27.22,0.0
2020-03-01 15:33:00,27.31,0.0
2020-03-01 15:48:00,27.11,0.0
2020-03-01 16:03:00,26.99,0.0
2020-03-01 16:18:00,26.64,0.0
2020-03-01 16:33:00,26.61,0.0
2020-03-01 16:48:00,26.24,0.0
2020-03-01 17:03:00,25.8,0.0
2020-03-01 17:18:00,25.4,0.0
2020-03-01 17:33:00,24.66,0.0
2020-03-01 17:48:00,23.84,0.0
2020-03-01 18:03:00,23.04,0.0
2020-03-01 18:18:00,22.34,0.0
2020-03-01 18:33:00,21.82,0.0
2020-03-01 18:48:00,21.38,0.0
2020-03-01 19:03:00,20.98,0.0
2020-03-01 19:18:00,20.88,0.0
2020-03-01 19:33:00,20.86,0.0
2020-03-01 19:48:00,20.81,0.0
2020-03-01 20:03:00,20.56,0.0
2020-03-01 20:18:00,20.26,0.0
2020-03-01 20:33:00,19.84,0.0
2020-03-01 20:48:00,19.42,0.0
2020-03-01 21:03:00,19.12,0.0
2020-03-01 21:18:00,18.92,0.0
2020-03-01 21:33:00,18.71,0.0
2020-03-01 21:48:00,18.52,0.0
2020-03-01 22:03:00,18.42,0.0
2020-03-01 22:18:00,18.48,0.0
2020-03-01 22:33:00,18.42,0.0
2020-03-01 22:48:00,18.04,0.0
2020-03-01 23:03:00,17.89,0.0
2020-03-01 23:18:00,17.78,0.0
2020-03-01 23:33:00,17.65,0.0
2020-03-01 23:48:00,17.54,0.0
2020-03-02 00:03:00,17.47,0.0
2020-03-02 00:18:00,17.19,0.0
2020-03-02 00:33:00,17.47,0.0
2020-03-02 00:48:00,17.46,0.0
2020-03-02 01:03:00,16.93,0.0
2020-03-02 01:18:00,16.6,0.0
2020-03-02 01:33:00,16.57,0.0
2020-03-02 01:48:00,16.4,0.0
2020-03-02 02:03:00,16.26,0.0
2020-03-02 02:18:00,16.26,0.0
2020-03-02 02:33:00,16.16,0.0
2020-03-02 02:48:00,16.15,0.0
2020-03-02 03:03:00,15.8,0.0
2020-03-02 03:18:00,15.68,0.0
2020-03-02 03:33:00,15.96,0.0
2020-03-02 03:48:00,15.76,0.0
2020-03-02 04:03:00,15.79,0.0
2020-03-02 04:18:00,15.76,0.0
2020-03-02 04:33:00,15.8,0.0
2020-03-02 04:48:00,16.1,0.0
2020-03-02 05:03:00,16.31,0.0
2020-03-02 05:18:00,16.18,0.0
2020-03-02 05:33:00,16.02,0.0
2020-03-02 05:48:00,16.05,0.0
2020-03-02 06:03:00,16.02,0.0
2020-03-02 06:18:00,16.17,0.0
2020-03-02 06:33:00,16.14,0.0
2020-03-02 06:48:00,16.24,0.0
2020-03-02 07:03:00,16.75,0.0
2020-03-02 07:18:00,17.6,0.0
2020-03-02 07:33:00,18.82,0.0
2020-03-02 07:48:00,19.58,0.0
2020-03-02 08:03:00,19.8,0.0
2020-03-02 08:18:00,20.56,0.0
2020-03-02 08:33:00,21.12,0.0
2020-03-02 08:48:00,21.4,0.0
2020-03-02 09:03:00,22.28,0.0
2020-03-02 09:18:00,22.85,0.0
2020-03-02 09:33:00,23.89,0.0
2020-03-02 09:48:00,25.26,0.0
2020-03-02 10:03:00,25.7,0.0
2020-03-02 10:18:00,25.93,0.0
2020-03-02 10:33:00,26.46,0.0
2020-03-02 10:48:00,26.58,0.0
2020-03-02 11:03:00,27.07,0.0
2020-03-02 11:18:00,26.89,0.0
2020-03-02 11:33:00,27.42,0.0
2020-03-02 11:48:00,27.41,0.0
2020-03-02 12:03:00,27.22,0.0
2020-03-02 12:18:00,27.86,0.0
2020-03-02 12:33:00,27.74,0.0
2020-03-02 12:48:00,27.79,0.0
2020-03-02 13:03:00,28.03,0.0
2020-03-02 13:18:00,28.07,0.0
2020-03-02 13:33:00,28.3,0.0
2020-03-02 13:48:00,28.33,0.0
2020-03-02 14:03:00,28.72,0.0
2020-03-02 14:18:00,28.92,0.0
2020-03-02 14:33:00,28.89,0.0
2020-03-02 14:48:00,28.76,0.0
2020-03-02 15:03:00,28.36,0.0
2020-03-02 15:18:00,27.81,0.0
2020-03-02 15:33:00,28.35,0.0
2020-03-02 15:48:00,28.48,0.0
2020-03-02 16:03:00,27.81,0.0
2020-03-02 16:18:00,27.41,0.0
2020-03-02 16:33:00,26.87,0.0
2020-03-02 16:48:00,26.32,0.0
2020-03-02 17:03:00,25.7,0.0
2020-03-02 17:18:00,25.13,0.0
2020-03-02 17:33:00,24.48,0.0
2020-03-02 17:48:00,23.76,0.0
2020-03-02 18:03:00,23.19,0.0
2020-03-02 18:18:00,22.62,0.0
2020-03-02 18:33:00,22.19,0.0
2020-03-02 18:48:00,21.53,0.0
2020-03-02 19:03:00,21.0,0.0
2020-03-02 19:18:00,20.88,0.0
2020-03-02 19:33:00,20.66,0.0
2020-03-02 19:48:00,20.2,0.0
2020-03-02 20:03:00,20.05,0.0
2020-03-02 20:18:00,19.95,0.0
2020-03-02 20:33:00,19.68,0.0
2020-03-02 20:48:00,19.68,0.0
2020-03-02 21:03:00,19.52,0.0
2020-03-02 21:18:00,19.6,0.0
2020-03-02 21:33:00,19.22,0.0
2020-03-02 21:48:00,18.91,0.0
