Date & Time,Temp (0C),Rainfall (mm)
2020-03-01 00:13:00,18.83,0.0
2020-03-01 00:28:00,18.75,0.0
2020-03-01 00:43:00,19.99,0.0
2020-03-01 00:58:00,18.32,0.2
2020-03-01 01:13:00,18.02,0.0
2020-03-01 01:28:00,17.91,0.0
2020-03-01 01:43:00,18.02,0.0
2020-03-01 01:58:00,17.97,0.0
2020-03-01 02:13:00,18.02,0.0
2020-03-01 02:28:00,17.66,0.0
2020-03-01 02:43:00,17.27,0.0
2020-03-01 02:58:00,17.03,0.0
2020-03-01 03:13:00,16.94,0.0
2020-03-01 03:28:00,16.92,0.0
2020-03-01 03:43:00,16.69,0.0
2020-03-01 03:58:00,16.6,0.0
2020-03-01 04:13:00,16.57,0.0
2020-03-01 04:28:00,16.5,0.0
2020-03-01 04:43:00,16.48,0.0
2020-03-01 04:58:00,16.16,0.0
2020-03-01 05:13:00,15.92,0.0
2020-03-01 05:28:00,15.65,0.0
2020-03-01 05:43:00,15.42,0.0
2020-03-01 05:58:00,15.21,0.0
2020-03-01 06:13:00,14.96,0.0
2020-03-01 06:28:00,14.84,0.0
2020-03-01 06:43:00,14.87,0.0
2020-03-01 06:58:00,15.26,0.0
2020-03-01 07:13:00,15.68,0.0
2020-03-01 07:28:00,16.33,0.0
2020-03-01 07:43:00,17.01,0.0
2020-03-01 07:58:00,17.8,0.0
2020-03-01 08:13:00,18.45,0.0
2020-03-01 08:28:00,18.72,0.0
2020-03-01 08:43:00,19.44,0.0
2020-03-01 08:58:00,19.98,0.0
2020-03-01 09:13:00,20.75,0.0
2020-03-01 09:28:00,21.08,0.0
2020-03-01 09:43:00,21.56,0.0
2020-03-01 09:58:00,22.08,0.0
2020-03-01 10:13:00,22.71,0.0
2020-03-01 10:28:00,23.19,0.0
2020-03-01 10:43:00,23.67,0.0
2020-03-01 10:58:00,24.25,0.0
2020-03-01 11:13:00,24.72,0.0
2020-03-01 11:28:00,24.96,0.0
2020-03-01 11:43:00,25.31,0.0
2020-03-01 11:58:00,25.65,0.0
2020-03-01 12:13:00,25.32,0.0
2020-03-01 12:28:00,25.95,0.0
2020-03-01 12:43:00,26.07,0.0
2020-03-01 12:58:00,26.19,0.0
2020-03-01 13:13:00,26.8,0.0
2020-03-01 13:37:00,26.91,0.0
2020-03-01 13:52:00,27.32,0.0
2020-03-01 14:07:00,27.94,0.0
2020-03-01 14:22:00,27.77,0.0
2020-03-01 14:37:00,27.42,0.0
2020-03-01 14:52:00,27.46,0.0
2020-03-01 15:07:00,27.42,0.0
2020-03-01 15:22:00,27.23,0.0
2020-03-01 15:37:00,27.96,0.0
2020-03-01 15:52:00,27.56,0.0
2020-03-01 16:07:00,27.41,0.0
2020-03-01 16:22:00,27.91,0.0
2020-03-01 16:37:00,28.0,0.0
2020-03-01 16:52:00,27.43,0.0
2020-03-01 17:07:00,26.88,0.0
2020-03-01 17:22:00,26.34,0.0
2020-03-01 17:37:00,25.73,0.0
2020-03-01 17:52:00,24.83,0.0
2020-03-01 18:07:00,23.87,0.0
2020-03-01 18:22:00,23.09,0.0
2020-03-01 18:37:00,22.62,0.0
2020-03-01 18:52:00,22.14,0.0
2020-03-01 19:07:00,21.9,0.0
2020-03-01 19:22:00,21.56,0.0
2020-03-01 19:37:00,21.11,0.0
2020-03-01 19:52:00,20.84,0.0
2020-03-01 20:07:00,20.7,0.0
2020-03-01 20:22:00,20.94,0.0
2020-03-01 20:37:00,20.91,0.0
2020-03-01 20:52:00,20.6,0.0
2020-03-01 21:07:00,19.82,0.0
2020-03-01 21:22:00,19.26,0.0
2020-03-01 21:37:00,18.89,0.0
2020-03-01 21:52:00,19.07,0.0
2020-03-01 22:07:00,18.69,0.0
2020-03-01 22:22:00,18.69,0.0
2020-03-01 22:37:00,18.65,0.0
2020-03-01 22:52:00,18.05,0.0
2020-03-01 23:07:00,18.12,0.0
2020-03-01 23:22:00,18.08,0.0
2020-03-01 23:37:00,17.6,0.0
2020-03-01 23:52:00,17.42,0.0
2020-03-02 00:07:00,17.53,0.0
2020-03-02 00:22:00,17.11,0.0
2020-03-02 00:37:00,17.09,0.0
2020-03-02 00:52:00,17.25,0.0
2020-03-02 01:07:00,17.08,0.0
2020-03-02 01:22:00,17.09,0.0
2020-03-02 01:37:00,16.87,0.0
2020-03-02 01:52:00,16.31,0.0
2020-03-02 02:07:00,16.06,0.0
2020-03-02 02:22:00,16.16,0.0
2020-03-02 02:37:00,15.96,0.0
2020-03-02 02:52:00,15.7,0.0
2020-03-02 03:07:00,15.78,0.0
2020-03-02 03:22:00,15.47,0.0
2020-03-02 03:37:00,15.45,0.0
2020-03-02 03:52:00,15.66,0.0
2020-03-02 04:07:00,15.83,0.0
2020-03-02 04:22:00,15.35,0.0
2020-03-02 04:37:00,14.94,0.0
2020-03-02 04:52:00,14.98,0.0
2020-03-02 05:07:00,15.12,0.0
2020-03-02 05:22:00,15.65,0.0
2020-03-02 05:37:00,15.87,0.0
2020-03-02 05:52:00,16.1,0.0
2020-03-02 06:07:00,15.97,0.0
2020-03-02 06:22:00,16.34,0.0
2020-03-02 06:37:00,16.34,0.0
2020-03-02 06:52:00,16.38,0.0
2020-03-02 07:07:00,16.52,0.0
2020-03-02 07:22:00,16.74,0.0
2020-03-02 07:37:00,17.49,0.0
2020-03-02 07:52:00,18.69,0.0
2020-03-02 08:07:00,19.2,0.0
2020-03-02 08:22:00,19.79,0.0
2020-03-02 08:37:00,20.95,0.0
2020-03-02 08:52:00,22.17,0.0
2020-03-02 09:07:00,23.3,0.0
2020-03-02 09:22:00,23.87,0.0
2020-03-02 09:37:00,24.67,0.0
2020-03-02 09:52:00,25.13,0.0
2020-03-02 10:07:00,25.65,0.0
2020-03-02 10:22:00,26.57,0.0
2020-03-02 10:37:00,26.98,0.0
2020-03-02 10:52:00,27.5,0.0
2020-03-02 11:07:00,27.12,0.0
2020-03-02 11:22:00,27.32,0.0
2020-03-02 11:37:00,27.36,0.0
2020-03-02 11:52:00,27.86,0.0
2020-03-02 12:07:00,28.41,0.0
2020-03-02 12:22:00,28.51,0.0
2020-03-02 12:37:00,28.58,0.0
2020-03-02 12:52:00,28.83,0.0
2020-03-02 13:07:00,29.0,0.0
2020-03-02 13:22:00,29.5,0.0
2020-03-02 13:37:00,30.31,0.0
2020-03-02 13:52:00,30.45,0.0
2020-03-02 14:07:00,30.11,0.0
2020-03-02 14:22:00,30.22,0.0
2020-03-02 14:37:00,29.82,0.0
2020-03-02 14:52:00,29.61,0.0
2020-03-02 15:07:00,29.75,0.0
2020-03-02 15:22:00,29.44,0.0
2020-03-02 15:37:00,29.75,0.0
2020-03-02 15:52:00,30.02,0.0
2020-03-02 16:07:00,29.75,0.0
2020-03-02 16:22:00,29.09,0.0
2020-03-02 16:37:00,28.25,0.0
2020-03-02 16:52:00,27.16,0.0
2020-03-02 17:07:00,26.78,0.0
2020-03-02 17:22:00,26.33,0.0
2020-03-02 17:37:00,25.97,0.0
2020-03-02 17:52:00,25.03,0.0
2020-03-02 18:07:00,24.08,0.0
2020-03-02 18:22:00,23.3,0.0
2020-03-02 18:37:00,22.54,0.0
2020-03-02 18:52:00,22.21,0.0
2020-03-02 19:07:00,21.93,0.0
2020-03-02 19:22:00,21.41,0.0
2020-03-02 19:37:00,21.2,0.0
2020-03-02 19:52:00,21.15,0.0
2020-03-02 20:07:00,20.92,0.0
2020-03-02 20:22:00,20.73,0.0
2020-03-02 20:37:00,20.34,0.0
2020-03-02 20:52:00,19.95,0.0
2020-03-02 21:07:00,19.63,0.0
2020-03-02 21:22:00,19.41,0.0
2020-03-02 21:37:00,19.45,0.0
2020-03-02 21:52:00,19.01,0.0
2020-03-02 22:07:00,18.67,0.0
2020-03-02 22:22:00,18.21,0.0
2020-03-02 22:37:00,18.18,0.0
2020-03-02 22:52:00,18.22,0.0
2020-03-02 23:07:00,18.46,0.0
2020-03-02 23:22:00,18.46,0.0
2020-03-02 23:37:00,17.73,0.0
2020-03-02 23:52:00,17.49,0.0
2020-03-03 00:07:00,17.5,0.0
2020-03-03 00:22:00,17.32,0.0
2020-03-03 00:37:00,17.46,0.0
2020-03-03 00:52:00,17.69,0.0
2020-03-03 01:07:00,17.44,0.0
2020-03-03 01:22:00,17.11,0.0
2020-03-03 01:37:00,17.16,0.0
2020-03-03 01:52:00,17.3,0.0
2020-03-03 02:07:00,17.37,0.0
2020-03-03 02:22:00,17.42,0.0
2020-03-03 02:37:00,17.67,0.0
2020-03-03 02:52:00,17.56,0.0
2020-03-03 03:07:00,17.54,0.0
2020-03-03 03:22:00,17.53,0.0
2020-03-03 03:37:00,17.39,0.0
2020-03-03 03:52:00,17.22,0.0
2020-03-03 04:07:00,17.16,0.0
2020-03-03 04:22:00,17.25,0.0
2020-03-03 04:37:00,17.2,0.0
2020-03-03 04:52:00,17.27,0.0
2020-03-03 05:07:00,17.23,0.0
2020-03-03 05:22:00,17.19,0.0
2020-03-03 05:37:00,16.91,0.0
2020-03-03 05:52:00,16.79,0.0
